Enemy_CS (1),Killed,Enemy_Modified_AssaultCube (2),20240419_004506
Enemy_Modified_Xonotic (1),Killed,Enemy_OW (1),20240419_004506
Enemy_OW (2),Killed,Enemy_Modified_Xonotic (1),20240419_004507
Enemy_OW,Killed,Enemy_Modified_Xonotic (3),20240419_004507
Enemy_Modified_Xonotic (2),Killed,Enemy_OW,20240419_004508
Enemy_OW (2),Killed,Enemy_Modified_Xonotic (2),20240419_004508
Enemy_Modified_AssaultCube (1),Killed,Enemy_CS (2),20240419_004511
Enemy_CS,Killed,Enemy_Modified_AssaultCube (1),20240419_004511
Enemy_CS,Killed,Enemy_Modified_AssaultCube (3),20240419_004512
Enemy_CS (1),Killed,Enemy_OW (2),20240419_004514
Enemy_Modified_AssaultCube (2),Killed,Enemy_CS,20240419_004519
Enemy_Modified_Xonotic (1),Killed,Enemy_OW (1),20240419_004519
Enemy_Modified_AssaultCube (2),Killed,Enemy_CS (1),20240419_004520
Enemy_Modified_Xonotic (3),Killed,Enemy_OW,20240419_004523
Enemy_OW (2),Killed,Enemy_Modified_Xonotic (3),20240419_004526
Enemy_OW (2),Killed,Enemy_Modified_Xonotic (1),20240419_004526
Enemy_Modified_AssaultCube (3),Killed,Enemy_CS (2),20240419_004527
Enemy_Modified_AssaultCube (1),Killed,Enemy_OW (2),20240419_004531
Enemy_Modified_Xonotic (2),Killed,Enemy_Modified_AssaultCube (3),20240419_004531
Enemy_CS,Killed,Enemy_Modified_AssaultCube (2),20240419_004531
Enemy_Modified_Xonotic (2),Killed,Enemy_Modified_AssaultCube (1),20240419_004533
Enemy_Modified_Xonotic (2),Killed,Enemy_CS,20240419_004535
Enemy_CS (1),Killed,Enemy_Modified_Xonotic (2),20240419_004535
Enemy_CS (1),Killed,Enemy_OW (1),20240419_004537
Enemy_OW,Killed,Enemy_CS (1),20240419_004538
Enemy_Modified_Xonotic (3),Killed,Enemy_OW,20240419_004540
Enemy_Modified_AssaultCube (2),Killed,Enemy_CS (2),20240419_004544
Enemy_OW (2),Killed,Enemy_Modified_Xonotic (1),20240419_004545
Enemy_Modified_Xonotic (2),Killed,Enemy_OW (2),20240419_004548
Enemy_Modified_AssaultCube (2),Killed,Enemy_CS,20240419_004549
Enemy_OW (1),Killed,Enemy_Modified_Xonotic (3),20240419_004550
Enemy_CS (1),Killed,Enemy_Modified_AssaultCube (2),20240419_004550
Enemy_CS (1),Killed,Enemy_Modified_AssaultCube (3),20240419_004551
Enemy_Modified_Xonotic (2),Killed,Enemy_OW (1),20240419_004552
Enemy_OW,Killed,Enemy_Modified_Xonotic (2),20240419_004553
Enemy_Modified_AssaultCube (1),Killed,Enemy_CS (1),20240419_004554
Enemy_OW,Killed,Enemy_Modified_AssaultCube (1),20240419_004556
Enemy_Modified_Xonotic (1),Killed,Enemy_OW,20240419_004558
Enemy_OW (2),Killed,Enemy_Modified_Xonotic (1),20240419_004602
Enemy_Modified_AssaultCube (3),Killed,Enemy_CS (2),20240419_004605
Enemy_Modified_Xonotic (3),Killed,Enemy_CS,20240419_004606
Enemy_OW (1),Killed,Enemy_Modified_Xonotic (3),20240419_004606
Enemy_CS (1),Killed,Enemy_Modified_AssaultCube (3),20240419_004607
Enemy_OW (2),Killed,Enemy_Modified_Xonotic (2),20240419_004608
Enemy_CS (1),Killed,Enemy_OW (2),20240419_004609
Enemy_CS (1),Killed,Enemy_Modified_AssaultCube (2),20240419_004610
Enemy_OW (1),Killed,Enemy_CS (1),20240419_004611
Enemy_Modified_AssaultCube (1),Killed,Enemy_OW (1),20240419_004618
Enemy_OW,Killed,Enemy_CS (2),20240419_004618
Enemy_OW,Killed,Enemy_Modified_AssaultCube (1),20240419_004618
Enemy_Modified_Xonotic (1),Killed,Enemy_OW,20240419_004618
Enemy_Modified_AssaultCube (3),Killed,Enemy_CS,20240419_004620
Enemy_Modified_Xonotic (2),Killed,Enemy_OW (2),20240419_004623
Enemy_CS (1),Killed,Enemy_Modified_AssaultCube (3),20240419_004624
Enemy_Modified_AssaultCube (2),Killed,Enemy_CS (1),20240419_004626
Enemy_Modified_Xonotic (2),Killed,Enemy_Modified_AssaultCube (2),20240419_004626
Enemy_CS (2),Killed,Enemy_Modified_Xonotic (2),20240419_004629
Enemy_Modified_AssaultCube (1),Killed,Enemy_CS (2),20240419_004630
Enemy_CS,Killed,Enemy_Modified_AssaultCube (1),20240419_004631
Enemy_CS,Killed,Enemy_Modified_Xonotic (1),20240419_004632
Enemy_Modified_Xonotic (3),Killed,Enemy_CS,20240419_004635
Enemy_Modified_AssaultCube (3),Killed,Enemy_OW (1),20240419_004636
