Enemy_CS (2),Killed,Enemy_AssaultCube (2),20240413_100630
Enemy_Xonotic (1),Killed,Enemy_OW (1),20240413_100630
Enemy_OW (2),Killed,Enemy_Xonotic (1),20240413_100631
Enemy_CS (2),Killed,Enemy_AssaultCube,20240413_100631
Enemy_AssaultCube (1),Killed,Enemy_CS (1),20240413_100631
Enemy_OW,Killed,Enemy_Xonotic,20240413_100631
Enemy_AssaultCube (1),Killed,Enemy_CS (2),20240413_100631
Enemy_CS,Killed,Enemy_AssaultCube (1),20240413_100632
Enemy_OW (2),Killed,Enemy_Xonotic (2),20240413_100632
Enemy_CS,Killed,Enemy_OW (2),20240413_100641
Enemy_Xonotic (1),Killed,Enemy_OW,20240413_100643
Enemy_CS (2),Killed,Enemy_AssaultCube (2),20240413_100643
Enemy_AssaultCube,Killed,Enemy_CS,20240413_100644
Enemy_OW (1),Killed,Enemy_Xonotic (1),20240413_100644
Enemy_AssaultCube,Killed,Enemy_CS (1),20240413_100644
Enemy_Xonotic (2),Killed,Enemy_OW (1),20240413_100644
Enemy_CS (2),Killed,Enemy_AssaultCube,20240413_100645
Enemy_AssaultCube (1),Killed,Enemy_CS (2),20240413_100645
Enemy_Xonotic (2),Killed,Enemy_AssaultCube (1),20240413_100651
Enemy_OW (2),Killed,Enemy_Xonotic,20240413_100655
Enemy_OW (2),Killed,Enemy_Xonotic (2),20240413_100656
Enemy_OW,Killed,Enemy_Xonotic (1),20240413_100656
Enemy_CS (1),Killed,Enemy_OW,20240413_100659
Enemy_AssaultCube (2),Killed,Enemy_CS (1),20240413_100701
Enemy_CS (2),Killed,Enemy_AssaultCube (2),20240413_100701
Enemy_CS (2),Killed,Enemy_AssaultCube,20240413_100703
Enemy_CS (2),Killed,Enemy_OW (2),20240413_100704
Enemy_CS,Killed,Enemy_AssaultCube (1),20240413_100705
Enemy_OW (1),Killed,Enemy_CS (2),20240413_100705
Enemy_OW (1),Killed,Enemy_CS,20240413_100707
Enemy_Xonotic,Killed,Enemy_OW (1),20240413_100709
Enemy_Xonotic (1),Killed,Enemy_OW,20240413_100711
Enemy_Xonotic (2),Killed,Enemy_OW (2),20240413_100716
Enemy_AssaultCube (2),Killed,Enemy_CS (1),20240413_100719
Enemy_AssaultCube (2),Killed,Enemy_Xonotic (2),20240413_100719
Enemy_Xonotic (1),Killed,Enemy_AssaultCube (2),20240413_100719
Enemy_CS (2),Killed,Enemy_Xonotic,20240413_100720
Enemy_CS,Killed,Enemy_AssaultCube,20240413_100721
Enemy_Xonotic (1),Killed,Enemy_CS (2),20240413_100721
Enemy_CS,Killed,Enemy_Xonotic (1),20240413_100721
Enemy_CS,Killed,Enemy_AssaultCube (1),20240413_100723
Enemy_OW (1),Killed,Enemy_CS,20240413_100723
Enemy_OW (1),Killed,Enemy_Xonotic (2),20240413_100732
Enemy_Xonotic,Killed,Enemy_OW,20240413_100732
Enemy_CS (1),Killed,Enemy_AssaultCube (2),20240413_100732
Enemy_AssaultCube,Killed,Enemy_CS (1),20240413_100732
Enemy_CS (2),Killed,Enemy_AssaultCube,20240413_100734
Enemy_OW (1),Killed,Enemy_CS (2),20240413_100734
Enemy_OW (2),Killed,Enemy_CS,20240413_100736
Enemy_Xonotic (1),Killed,Enemy_OW (1),20240413_100736
Enemy_OW (2),Killed,Enemy_AssaultCube (1),20240413_100736
Enemy_Xonotic,Killed,Enemy_OW (2),20240413_100737
Enemy_Xonotic,Killed,Enemy_OW,20240413_100744
Enemy_CS (1),Killed,Enemy_Xonotic,20240413_100747
Enemy_CS (2),Killed,Enemy_AssaultCube (1),20240413_100748
Enemy_CS (1),Killed,Enemy_Xonotic (1),20240413_100749
Enemy_AssaultCube (2),Killed,Enemy_CS (1),20240413_100750
Enemy_CS (2),Killed,Enemy_AssaultCube (2),20240413_100750
Enemy_CS (2),Killed,Enemy_OW (1),20240413_100750
Enemy_OW (2),Killed,Enemy_Xonotic (2),20240413_100751
Enemy_CS (2),Killed,Enemy_AssaultCube,20240413_100752
Enemy_OW (2),Killed,Enemy_CS (2),20240413_100752
Enemy_OW (2),Killed,Enemy_CS,20240413_100756
Enemy_OW,Killed,Enemy_Xonotic,20240413_100800
Enemy_Xonotic (1),Killed,Enemy_OW (2),20240413_100801
Enemy_AssaultCube (1),Killed,Enemy_CS (1),20240413_100802
Enemy_Xonotic (1),Killed,Enemy_OW (1),20240413_100803
Enemy_AssaultCube (2),Killed,Enemy_CS (2),20240413_100804
Enemy_AssaultCube,Killed,Enemy_OW,20240413_100806
Enemy_AssaultCube (1),Killed,Enemy_Xonotic (2),20240413_100806
Enemy_CS,Killed,Enemy_AssaultCube (2),20240413_100809
Enemy_AssaultCube (1),Killed,Enemy_Xonotic (1),20240413_100810
Enemy_CS,Killed,Enemy_AssaultCube,20240413_100811
Enemy_AssaultCube (1),Killed,Enemy_CS,20240413_100811
Enemy_OW (2),Killed,Enemy_Xonotic,20240413_100814
Enemy_OW (2),Killed,Enemy_AssaultCube (1),20240413_100816
Enemy_Xonotic (2),Killed,Enemy_OW (2),20240413_100819
Enemy_Xonotic (2),Killed,Enemy_CS (1),20240413_100821
