Enemy_Xonotic (1),Killed,Enemy_CS (2),20240410_172559
Enemy_OW (2),Killed,Enemy_AssaultCube (1),20240410_172608
Enemy_OW (1),Killed,Enemy_AssaultCube,20240410_172609
Enemy_AssaultCube (2),Killed,Enemy_OW (2),20240410_172611
Enemy_OW,Killed,Enemy_AssaultCube (2),20240410_172622
Enemy_OW,Killed,Enemy_AssaultCube (1),20240410_172624
Enemy_AssaultCube,Killed,Enemy_OW,20240410_172624
Enemy_AssaultCube,Killed,Enemy_OW (1),20240410_172627
Enemy_Xonotic,Killed,Enemy_CS,20240410_172629
Enemy_OW (2),Killed,Enemy_CS (1),20240410_172632
Enemy_CS (2),Killed,Enemy_OW (2),20240410_172634
Enemy_Xonotic (2),Killed,Enemy_CS (2),20240410_172638
Enemy_AssaultCube,Killed,Enemy_Xonotic (2),20240410_172647
Enemy_CS,Killed,Enemy_AssaultCube,20240410_172651
Enemy_AssaultCube (1),Killed,Enemy_OW,20240410_172654
Enemy_OW (1),Killed,Enemy_AssaultCube (2),20240410_172702
Enemy_OW (2),Killed,Enemy_AssaultCube (1),20240410_172702
Enemy_CS,Killed,Enemy_OW (1),20240410_172703
Enemy_OW (2),Killed,Enemy_CS,20240410_172709
Enemy_CS (1),Killed,Enemy_OW (2),20240410_172714
Enemy_CS (2),Killed,Enemy_OW,20240410_172722
Enemy_OW (1),Killed,Enemy_CS (2),20240410_172723
Enemy_AssaultCube (2),Killed,Enemy_Xonotic,20240410_172723
Enemy_CS (1),Killed,Enemy_OW (1),20240410_172724
Enemy_CS,Killed,Enemy_AssaultCube,20240410_172732
Enemy_AssaultCube (1),Killed,Enemy_Xonotic (2),20240410_172733
Enemy_AssaultCube (2),Killed,Enemy_CS,20240410_172734
Enemy_AssaultCube (1),Killed,Enemy_Xonotic (1),20240410_172735
Enemy_CS (1),Killed,Enemy_AssaultCube (1),20240410_172735
Enemy_AssaultCube (2),Killed,Enemy_CS (1),20240410_172740
Enemy_Xonotic,Killed,Enemy_AssaultCube (2),20240410_172747
Enemy_OW (2),Killed,Enemy_CS (2),20240410_172756
Enemy_CS,Killed,Enemy_OW (2),20240410_172756
Enemy_OW (1),Killed,Enemy_CS,20240410_172800
Enemy_CS (1),Killed,Enemy_OW (1),20240410_172802
Enemy_AssaultCube,Killed,Enemy_Xonotic,20240410_172802
Enemy_OW,Killed,Enemy_CS (1),20240410_172805
Enemy_AssaultCube,Killed,Enemy_OW,20240410_172805
Enemy_Xonotic (2),Killed,Enemy_AssaultCube (1),20240410_172811
Enemy_Xonotic (1),Killed,Enemy_AssaultCube,20240410_172812
Enemy_AssaultCube (2),Killed,Enemy_Xonotic (2),20240410_172814
Enemy_Xonotic (1),Killed,Enemy_AssaultCube (2),20240410_172818
Enemy_CS (2),Killed,Enemy_Xonotic (1),20240410_172823
Enemy_OW (2),Killed,Enemy_CS (2),20240410_172832
Enemy_CS,Killed,Enemy_OW (2),20240410_172834
Enemy_OW,Killed,Enemy_Xonotic (2),20240410_172835
Enemy_CS (1),Killed,Enemy_AssaultCube,20240410_172836
Enemy_OW (1),Killed,Enemy_CS,20240410_172838
Enemy_AssaultCube (2),Killed,Enemy_OW (1),20240410_172839
Enemy_OW,Killed,Enemy_CS (1),20240410_172839
Enemy_Xonotic,Killed,Enemy_OW,20240410_172844
Enemy_AssaultCube (1),Killed,Enemy_Xonotic (1),20240410_172858
Enemy_OW (2),Killed,Enemy_Xonotic (2),20240410_172901
Enemy_Xonotic,Killed,Enemy_OW (2),20240410_172902
Enemy_CS (1),Killed,Enemy_AssaultCube (2),20240410_172905
Enemy_OW (1),Killed,Enemy_Xonotic,20240410_172906
Enemy_CS (2),Killed,Enemy_AssaultCube (1),20240410_172910
Enemy_AssaultCube,Killed,Enemy_CS,20240410_172912
Enemy_CS (1),Killed,Enemy_AssaultCube,20240410_172912
Enemy_OW,Killed,Enemy_CS (2),20240410_172918
Enemy_OW,Killed,Enemy_CS (1),20240410_172920
