Enemy_CS,Killed,Enemy_Xonotic,20240412_072133
Enemy_AssaultCube,Killed,Enemy_CS,20240412_072134
Enemy_OW,Killed,Enemy_AssaultCube,20240412_072136
Enemy_Xonotic,Killed,Enemy_OW,20240412_072146
Enemy_CS,Killed,Enemy_Xonotic,20240412_072147
Enemy_CS,Killed,Enemy_AssaultCube,20240412_072150
Enemy_Xonotic,Killed,Enemy_CS,20240412_072157
Enemy_OW,Killed,Enemy_Xonotic,20240412_072201
Enemy_AssaultCube,Killed,Enemy_OW,20240412_072203
Enemy_CS,Killed,Enemy_AssaultCube,20240412_072208
Enemy_Xonotic,Killed,Enemy_CS,20240412_072211
Enemy_OW,Killed,Enemy_Xonotic,20240412_072218
Enemy_AssaultCube,Killed,Enemy_OW,20240412_072219
Enemy_CS,Killed,Enemy_AssaultCube,20240412_072225
Enemy_Xonotic,Killed,Enemy_CS,20240412_072228
Enemy_OW,Killed,Enemy_Xonotic,20240412_072233
Enemy_AssaultCube,Killed,Enemy_OW,20240412_072236
Enemy_CS,Killed,Enemy_AssaultCube,20240412_072241
Enemy_Xonotic,Killed,Enemy_CS,20240412_072244
Enemy_OW,Killed,Enemy_Xonotic,20240412_072250
Enemy_AssaultCube,Killed,Enemy_OW,20240412_072252
Enemy_CS,Killed,Enemy_AssaultCube,20240412_072257
Enemy_Xonotic,Killed,Enemy_CS,20240412_072301
Enemy_OW,Killed,Enemy_Xonotic,20240412_072305
Enemy_AssaultCube,Killed,Enemy_OW,20240412_072308
Enemy_CS,Killed,Enemy_AssaultCube,20240412_072315
Enemy_OW,Killed,Enemy_CS,20240412_072318
Enemy_AssaultCube,Killed,Enemy_Xonotic,20240412_072328
Enemy_CS,Killed,Enemy_OW,20240412_072329
Enemy_CS,Killed,Enemy_AssaultCube,20240412_072336
Enemy_OW,Killed,Enemy_CS,20240412_072339
Enemy_Xonotic,Killed,Enemy_OW,20240412_072344
Enemy_AssaultCube,Killed,Enemy_Xonotic,20240412_072350
Enemy_AssaultCube,Killed,Enemy_CS,20240412_072352
Enemy_OW,Killed,Enemy_AssaultCube,20240412_072355
Enemy_Xonotic,Killed,Enemy_CS,20240412_072403
Enemy_AssaultCube,Killed,Enemy_Xonotic,20240412_072405
Enemy_AssaultCube,Killed,Enemy_OW,20240412_072410
Enemy_CS,Killed,Enemy_AssaultCube,20240412_072414
Enemy_Xonotic,Killed,Enemy_CS,20240412_072416
Enemy_AssaultCube,Killed,Enemy_Xonotic,20240412_072424
Enemy_OW,Killed,Enemy_AssaultCube,20240412_072425
Enemy_CS,Killed,Enemy_OW,20240412_072429
Enemy_Xonotic,Killed,Enemy_CS,20240412_072435
Enemy_AssaultCube,Killed,Enemy_Xonotic,20240412_072435
Enemy_AssaultCube,Killed,Enemy_OW,20240412_072441
Enemy_AssaultCube,Killed,Enemy_CS,20240412_072447
Enemy_OW,Killed,Enemy_AssaultCube,20240412_072452
Enemy_Xonotic,Killed,Enemy_OW,20240412_072453
Enemy_CS,Killed,Enemy_Xonotic,20240412_072458
Enemy_OW,Killed,Enemy_CS,20240412_072504
Enemy_AssaultCube,Killed,Enemy_OW,20240412_072504
Enemy_Xonotic,Killed,Enemy_AssaultCube,20240412_072511
Enemy_Xonotic,Killed,Enemy_CS,20240412_072515
Enemy_OW,Killed,Enemy_Xonotic,20240412_072516
Enemy_AssaultCube,Killed,Enemy_OW,20240412_072525
Enemy_CS,Killed,Enemy_AssaultCube,20240412_072527
Enemy_Xonotic,Killed,Enemy_CS,20240412_072530
Enemy_Xonotic,Killed,Enemy_OW,20240412_072537
Enemy_CS,Killed,Enemy_Xonotic,20240412_072540
Enemy_CS,Killed,Enemy_AssaultCube,20240412_072546
Enemy_OW,Killed,Enemy_CS,20240412_072548
Enemy_Xonotic,Killed,Enemy_OW,20240412_072554
Enemy_CS,Killed,Enemy_Xonotic,20240412_072558
Enemy_AssaultCube,Killed,Enemy_CS,20240412_072601
Enemy_OW,Killed,Enemy_AssaultCube,20240412_072608
Enemy_Xonotic,Killed,Enemy_OW,20240412_072613
Enemy_AssaultCube,Killed,Enemy_CS,20240412_072620
Enemy_Xonotic,Killed,Enemy_AssaultCube,20240412_072626
Enemy_OW,Killed,Enemy_Xonotic,20240412_072628
Enemy_CS,Killed,Enemy_OW,20240412_072632
Enemy_Xonotic,Killed,Enemy_CS,20240412_072638
Enemy_AssaultCube,Killed,Enemy_Xonotic,20240412_072639
Enemy_OW,Killed,Enemy_AssaultCube,20240412_072643
Enemy_CS,Killed,Enemy_OW,20240412_072649
Enemy_Xonotic,Killed,Enemy_CS,20240412_072650
Enemy_AssaultCube,Killed,Enemy_Xonotic,20240412_072654
Enemy_OW,Killed,Enemy_AssaultCube,20240412_072701
Enemy_CS,Killed,Enemy_OW,20240412_072704
Enemy_CS,Killed,Enemy_Xonotic,20240412_072706
Enemy_AssaultCube,Killed,Enemy_CS,20240412_072713
Enemy_OW,Killed,Enemy_AssaultCube,20240412_072715
Enemy_Xonotic,Killed,Enemy_OW,20240412_072719
Enemy_AssaultCube,Killed,Enemy_Xonotic,20240412_072726
Enemy_AssaultCube,Killed,Enemy_CS,20240412_072729
Enemy_OW,Killed,Enemy_AssaultCube,20240412_072732
Enemy_Xonotic,Killed,Enemy_OW,20240412_072741
Enemy_AssaultCube,Killed,Enemy_Xonotic,20240412_072743
Enemy_CS,Killed,Enemy_AssaultCube,20240412_072743
Enemy_CS,Killed,Enemy_OW,20240412_072754
Enemy_AssaultCube,Killed,Enemy_CS,20240412_072755
Enemy_Xonotic,Killed,Enemy_AssaultCube,20240412_072801
Enemy_OW,Killed,Enemy_Xonotic,20240412_072804
Enemy_CS,Killed,Enemy_OW,20240412_072806
Enemy_Xonotic,Killed,Enemy_AssaultCube,20240412_072816
Enemy_OW,Killed,Enemy_CS,20240412_072817
Enemy_OW,Killed,Enemy_Xonotic,20240412_072821
Enemy_AssaultCube,Killed,Enemy_OW,20240412_072826
Enemy_CS,Killed,Enemy_AssaultCube,20240412_072831
Enemy_Xonotic,Killed,Enemy_CS,20240412_072832
Enemy_OW,Killed,Enemy_Xonotic,20240412_072840
Enemy_AssaultCube,Killed,Enemy_OW,20240412_072842
Enemy_CS,Killed,Enemy_AssaultCube,20240412_072846
Enemy_OW,Killed,Enemy_CS,20240412_072852
Enemy_Xonotic,Killed,Enemy_OW,20240412_072856
Enemy_AssaultCube,Killed,Enemy_Xonotic,20240412_072900
Enemy_CS,Killed,Enemy_AssaultCube,20240412_072905
Enemy_OW,Killed,Enemy_CS,20240412_072910
Enemy_Xonotic,Killed,Enemy_OW,20240412_072913
Enemy_AssaultCube,Killed,Enemy_Xonotic,20240412_072920
Enemy_CS,Killed,Enemy_AssaultCube,20240412_072924
Enemy_OW,Killed,Enemy_CS,20240412_072928
Enemy_Xonotic,Killed,Enemy_OW,20240412_072932
Enemy_CS,Killed,Enemy_Xonotic,20240412_072938
Enemy_CS,Killed,Enemy_AssaultCube,20240412_072940
Enemy_OW,Killed,Enemy_CS,20240412_072942
