Enemy_Modified_Xonotic (1),Killed,Enemy_OW (1),20240412_012122
Enemy_CS,Killed,Enemy_Modified_AssaultCube (3),20240412_012123
Enemy_CS (2),Killed,Enemy_OW (2),20240412_012123
Enemy_CS (2),Killed,Enemy_OW,20240412_012123
Enemy_CS (1),Killed,Enemy_Modified_AssaultCube (1),20240412_012123
Enemy_Modified_Xonotic (3),Killed,Enemy_Modified_AssaultCube (2),20240412_012124
Enemy_Modified_Xonotic (3),Killed,Enemy_CS,20240412_012124
Enemy_CS (2),Killed,Enemy_Modified_Xonotic (3),20240412_012125
Enemy_CS (2),Killed,Enemy_Modified_Xonotic (2),20240412_012125
Enemy_Modified_Xonotic (1),Killed,Enemy_CS (2),20240412_012129
Enemy_Modified_Xonotic (1),Killed,Enemy_CS (1),20240412_012130
Enemy_OW (1),Killed,Enemy_Modified_Xonotic (1),20240412_012153
Enemy_Modified_AssaultCube (1),Killed,Enemy_OW (1),20240412_012154
Enemy_OW,Killed,Enemy_Modified_AssaultCube (1),20240412_012155
Enemy_Modified_AssaultCube (2),Killed,Enemy_OW,20240412_012155
Enemy_OW (2),Killed,Enemy_Modified_AssaultCube (2),20240412_012156
Enemy_CS,Killed,Enemy_Modified_AssaultCube (3),20240412_012159
Enemy_OW (2),Killed,Enemy_CS,20240412_012200
Enemy_CS (2),Killed,Enemy_OW (2),20240412_012200
Enemy_CS (1),Killed,Enemy_Modified_Xonotic (3),20240412_012202
Enemy_Modified_AssaultCube (1),Killed,Enemy_CS (2),20240412_012218
Enemy_Modified_AssaultCube (2),Killed,Enemy_CS (1),20240412_012219
Enemy_Modified_AssaultCube (2),Killed,Enemy_CS,20240412_012227
Enemy_OW (1),Killed,Enemy_Modified_Xonotic (1),20240412_012231
Enemy_Modified_AssaultCube (2),Killed,Enemy_OW (1),20240412_012232
Enemy_OW (2),Killed,Enemy_Modified_AssaultCube (2),20240412_012233
Enemy_OW,Killed,Enemy_Modified_AssaultCube (1),20240412_012236
Enemy_Modified_Xonotic (3),Killed,Enemy_OW,20240412_012236
Enemy_OW (2),Killed,Enemy_Modified_AssaultCube (3),20240412_012237
Enemy_CS (2),Killed,Enemy_OW (2),20240412_012243
Enemy_Modified_AssaultCube (2),Killed,Enemy_CS (1),20240412_012257
Enemy_Modified_AssaultCube (2),Killed,Enemy_CS (2),20240412_012258
Enemy_CS,Killed,Enemy_Modified_Xonotic (1),20240412_012300
Enemy_Modified_AssaultCube (1),Killed,Enemy_Modified_Xonotic (3),20240412_012306
Enemy_OW,Killed,Enemy_Modified_AssaultCube (1),20240412_012307
Enemy_OW (1),Killed,Enemy_Modified_Xonotic (2),20240412_012309
Enemy_OW (1),Killed,Enemy_CS,20240412_012309
Enemy_Modified_AssaultCube (3),Killed,Enemy_OW (1),20240412_012310
Enemy_OW,Killed,Enemy_Modified_AssaultCube (3),20240412_012311
Enemy_Modified_AssaultCube (2),Killed,Enemy_OW,20240412_012312
Enemy_OW (2),Killed,Enemy_Modified_AssaultCube (2),20240412_012318
Enemy_CS (2),Killed,Enemy_OW (2),20240412_012320
Enemy_CS (1),Killed,Enemy_Modified_Xonotic (1),20240412_012331
Enemy_Modified_Xonotic (3),Killed,Enemy_CS (2),20240412_012333
Enemy_Modified_AssaultCube (1),Killed,Enemy_CS (1),20240412_012333
Enemy_Modified_Xonotic (2),Killed,Enemy_OW (1),20240412_012342
Enemy_OW,Killed,Enemy_Modified_Xonotic (3),20240412_012350
Enemy_OW,Killed,Enemy_Modified_AssaultCube (3),20240412_012350
Enemy_OW,Killed,Enemy_CS,20240412_012352
Enemy_Modified_Xonotic (2),Killed,Enemy_OW,20240412_012353
