Enemy_Xonotic (2),Killed,Enemy_OW,20240414_040811
Enemy_AssaultCube (2),Killed,Enemy_OW (1),20240414_040811
Enemy_Xonotic (2),Killed,Enemy_OW (2),20240414_040811
Enemy_AssaultCube (1),Killed,Enemy_Xonotic,20240414_040812
Enemy_CS,Killed,Enemy_AssaultCube (2),20240414_040812
Enemy_CS (1),Killed,Enemy_AssaultCube,20240414_040812
Enemy_CS,Killed,Enemy_AssaultCube (1),20240414_040813
Enemy_CS,Killed,Enemy_Xonotic (1),20240414_040814
Enemy_Xonotic (2),Killed,Enemy_CS,20240414_040817
Enemy_CS (2),Killed,Enemy_Xonotic (2),20240414_040819
Enemy_AssaultCube (2),Killed,Enemy_CS (1),20240414_040835
Enemy_AssaultCube (2),Killed,Enemy_CS (2),20240414_040835
Enemy_AssaultCube,Killed,Enemy_OW,20240414_040843
Enemy_OW (1),Killed,Enemy_Xonotic,20240414_040843
Enemy_AssaultCube,Killed,Enemy_OW (1),20240414_040844
Enemy_CS,Killed,Enemy_OW (2),20240414_040844
Enemy_AssaultCube (1),Killed,Enemy_Xonotic (1),20240414_040845
Enemy_CS,Killed,Enemy_AssaultCube (2),20240414_040849
Enemy_Xonotic (2),Killed,Enemy_CS,20240414_040851
Enemy_Xonotic (2),Killed,Enemy_AssaultCube,20240414_040851
Enemy_Xonotic (2),Killed,Enemy_AssaultCube (1),20240414_040906
Enemy_CS (1),Killed,Enemy_Xonotic (2),20240414_040907
Enemy_Xonotic,Killed,Enemy_CS (2),20240414_040910
Enemy_AssaultCube (2),Killed,Enemy_CS (1),20240414_040913
Enemy_OW,Killed,Enemy_Xonotic,20240414_040914
Enemy_OW,Killed,Enemy_Xonotic (1),20240414_040916
Enemy_CS,Killed,Enemy_OW (1),20240414_040917
Enemy_OW,Killed,Enemy_AssaultCube (2),20240414_040917
Enemy_AssaultCube,Killed,Enemy_OW,20240414_040922
Enemy_AssaultCube,Killed,Enemy_CS,20240414_040924
Enemy_AssaultCube,Killed,Enemy_OW (2),20240414_040937
Enemy_AssaultCube (1),Killed,Enemy_Xonotic (2),20240414_040939
Enemy_CS (1),Killed,Enemy_AssaultCube (1),20240414_040939
Enemy_CS (2),Killed,Enemy_AssaultCube,20240414_040943
Enemy_Xonotic,Killed,Enemy_CS (2),20240414_040943
Enemy_OW (1),Killed,Enemy_Xonotic,20240414_040948
Enemy_Xonotic (1),Killed,Enemy_AssaultCube (2),20240414_040948
Enemy_OW (1),Killed,Enemy_Xonotic (1),20240414_040950
Enemy_CS,Killed,Enemy_OW,20240414_040954
Enemy_AssaultCube (1),Killed,Enemy_CS (1),20240414_041003
Enemy_CS,Killed,Enemy_AssaultCube (1),20240414_041004
Enemy_AssaultCube,Killed,Enemy_CS,20240414_041006
Enemy_CS (2),Killed,Enemy_OW (1),20240414_041009
Enemy_OW (2),Killed,Enemy_Xonotic (2),20240414_041010
Enemy_AssaultCube,Killed,Enemy_Xonotic,20240414_041019
Enemy_Xonotic (1),Killed,Enemy_AssaultCube (2),20240414_041022
Enemy_OW (2),Killed,Enemy_Xonotic (1),20240414_041022
Enemy_OW,Killed,Enemy_AssaultCube,20240414_041022
Enemy_CS (2),Killed,Enemy_OW,20240414_041029
Enemy_AssaultCube (1),Killed,Enemy_CS (2),20240414_041033
Enemy_Xonotic (2),Killed,Enemy_CS (1),20240414_041038
Enemy_CS,Killed,Enemy_AssaultCube (1),20240414_041038
Enemy_OW (2),Killed,Enemy_CS,20240414_041039
Enemy_AssaultCube (2),Killed,Enemy_OW (1),20240414_041050
Enemy_OW (2),Killed,Enemy_Xonotic,20240414_041050
Enemy_Xonotic (1),Killed,Enemy_OW (2),20240414_041052
Enemy_AssaultCube,Killed,Enemy_Xonotic (1),20240414_041053
Enemy_CS (2),Killed,Enemy_AssaultCube (2),20240414_041100
